marka;model;rok_prod;paliwo;przebieg;pojemnosc;skr_bie;kolor;stan;cena;kraj;link
Volkswagen;Golf;1993;Benzyna;122000;1984;Manualna;Bia³y;U¿ywane;13160;Hiszpania;https://www.autoscout24.es/anuncios/volkswagen-golf-2-0-gti-gasolina-blanco-0fb43baa-c96a-4f89-a76e-b2c257d886ee?source=list_searchresults
Volkswagen;Golf;1996;Diesel;186520;1900;Manualna;Niebieski;U¿ywane;14805;Hiszpania;https://www.autoscout24.es/anuncios/volkswagen-golf-gti-tdi-diesel-azul-5cbe1ebd-1662-2d32-e053-0100007f0a49?source=list_searchresults
Volkswagen;Golf;2005;Diesel;190000;;Automatyczna;Czerwony;U¿ywane;18330;Hiszpania;https://www.autoscout24.es/anuncios/volkswagen-golf-diesel-rojo-23f44c00-fabf-4cc6-9580-7b39241cf1b7?source=list_searchresults
Volkswagen;Golf;1984;Benzyna;125600;1600;Manualna;Bia³y;U¿ywane;21150;Hiszpania;https://www.autoscout24.es/anuncios/volkswagen-golf-cabriolet-1-6-gt-carburacion-gasolina-blanco-2beb5167-98e4-4f45-acb9-00618614899b?source=list_searchresults
Volkswagen;Golf;1990;Benzyna;226000;1595;Manualna;Niebieski;U¿ywane;23500;Hiszpania;https://www.autoscout24.es/anuncios/volkswagen-golf-cabriolet-1-6-gl-gasolina-azul-2fd83519-c06d-426b-bfdb-910f9a3163c6?source=list_searchresults
Volkswagen;Golf;2016;Benzyna;62 000;1 395;Automatyczna;Bia³y;U¿ywane;9999;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-golf-vii-salon-1-wlasciciel-kompletne-wyposazenie-ID6Ev4Ws.html
Volkswagen;Golf;2019;Benzyna;29 000;1 498;Automatyczna;Szary;U¿ywane;89900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-salon-polska-highline-1-5-tsi-serwis-aso-niski-przebieg-ID6Erzq9.html
Volkswagen;Golf;2006;Diesel;350 000;1 896;Manualna;Czarny;U¿ywane;13900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-1-9-tdi-105km-alufelgi-16-klimatyzacja-b-ladny-ID6Euly5.html
Volkswagen;Golf;2013;Diesel;162 000;1 968;Manualna;Bia³y;U¿ywane;34900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-2-0-tdi-gtd-ID6EtecY.html
Volkswagen;Golf;2018;Benzyna;110 878;999;Manualna;Srebrny;U¿ywane;62900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-1-0-tsi-110km-fv23-navi-bt-czujniki-isofix-multifunkcja-alu-ID6Elp2J.html
Volkswagen;Golf;2008;Benzyna;177 000;1 595;Manualna;Srebrny;U¿ywane;17700;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-1-6-102km-2008r-5-drzwi-z-niemiec-ID6ExIcl.html
Volkswagen;Golf;2018;Benzyna;80 654;1 984;Automatyczna;Inny kolor;U¿ywane;89000;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-ID6ExIJC.html
Volkswagen;Golf;2004;Diesel;385 000;1 896;Manualna;Niebieski;U¿ywane;9990;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-ekonomiczny-zadbany-ID6Es0Kd.html
Volkswagen;Golf;2011;Benzyna;126 200;1 197;Automatyczna;Czarny;U¿ywane;26900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-6-automat-w-perfekcyjnym-stanie-ID6EsZZV.html
Volkswagen;Golf;2006;Benzyna;174 000;1 984;Manualna;Czarny;U¿ywane;19000;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-golf-v-gti-warszawa-ID6EsFFy.html
Volkswagen;Golf;2003;Benzyna;189 000;2 324;Manualna;Szary;U¿ywane;15900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-2-3-v5170-km-gtibezwypadkowystan-mega-zadbany-ID6Eni5s.html
Volkswagen;Golf;2014;Benzyna;85 300;1 197;Manualna;Srebrny;U¿ywane;36500;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-vii-1-2-ID6Ex6W0.html
Volkswagen;Golf;2015;Diesel;228 403;1 968;Manualna;Inny kolor;U¿ywane;40500;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-vw-golf-vii-2-0-tdi-150-km-ID6Esu35.html
Volkswagen;Golf;2005;Benzyna;196 000;1 390;Manualna;Czarny;U¿ywane;10950;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-super-stan-wersja-sport-ID6ExHol.html
Volkswagen;Golf;2010;Diesel;174 836;1 598;Manualna;Czarny;U¿ywane;26800;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-wersja-exclusive-ID6ExHcV.html
Volkswagen;Golf;2012;Benzyna;190 300;1 390;Manualna;Czarny;U¿ywane;27600;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-1-4-mpi-benzyna-z-niemiec-bezwypadkowy-ID6Ewfot.html
Volkswagen;Golf;2005;Benzyna;229 500;1 390;Manualna;Szary;U¿ywane;17200;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-vw-golf-pakiet-gt-1-4-mpi-klima-ID6ExE8z.html
Volkswagen;Golf;1993;Benzyna;243 000;1 781;Manualna;Czerwony;U¿ywane;4500;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-okazja-ID6Et3Sf.html
Volkswagen;Golf;2015;Diesel;132 000;1 968;Manualna;Czarny;U¿ywane;45900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-2-0-tdi-cr-hacback-prywatne-ID6ErXJg.html
Volkswagen;Golf;2007;Benzyna;165 000;1 595;Manualna;Srebrny;U¿ywane;13900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-idealny-grzane-fotele-klima-alu-zadbany-ID6EvHVK.html
Volkswagen;Golf;2007;Benzyna;166 000;1 595;Manualna;Srebrny;U¿ywane;14990;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-1-6-mpi-102km-z-de-166tys-km-klima-tour-gwarancja-oplacony-ID6EweyM.html
Volkswagen;Golf;2022;Diesel;1;1 968;Automatyczna;Niebieski;Nowe;137973;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-od-reki-style-2-0-tdi-150km-czujniki-parkowania-z-przodu-i-z-tylu-ID6EvGWF.html
Volkswagen;Golf;2010;Diesel;209 000;1 598;Manualna;Czarny;U¿ywane;16900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-ID6EvGPg.html
Volkswagen;Golf;2007;Diesel;165 000;1 896;Manualna;Szary;U¿ywane;16900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-oryginalny-przebieg-bez-wkladu-finansowego-ID6EvGLe.html
Volkswagen;Golf;2007;Benzyna;192 000;1 390;Manualna;Srebrny;U¿ywane;16900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-vw-golf-v-1-4-mpi-5-drzwi-nawigacja-pl-kamera-cofania-godny-uwagi-top-ID6EvNZv.html
Volkswagen;Golf;2011;Diesel;212 000;1 968;Automatyczna;Srebrny;U¿ywane;33000;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-r-line-dsg-lopatki-skora-xenon-navi-bbs-ID6ExJRw.html
Volkswagen;Golf;2009;Diesel;185 000;1 896;Manualna;Niebieski;U¿ywane;18500;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-okazja-volkswagen-golf-5-1-9-tdi-2009r-bluemotion-niski-przebieg-ID6EvNOz.html
Volkswagen;Golf;2007;Diesel;197 300;1 896;Manualna;Szary;U¿ywane;16900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-vw-golf-v-kombi-1-9-tdi-ID6EnmjE.html
Volkswagen;Golf;2007;Benzyna;179 000;1 595;Manualna;Czarny;U¿ywane;22400;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-oplacony-lift-1-6-mpi-102ps-idealny-200-oryg-ID6ExJZo.html
Volkswagen;Golf;2007;Benzyna;138 550;1 390;Manualna;Srebrny;U¿ywane;16300;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-vw-golf-v-1-4-140ps-salonowy-jeden-wlasciciel-ID6EwgrQ.html
Volkswagen;Golf;2016;Diesel;201 800;1 968;Automatyczna;Srebrny;U¿ywane;55900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-2-0tdi150km-automat-od-1-wlasciciela-pl-100-oryginal-100-serwis-ID6Es90G.html
Volkswagen;Golf;2016;Benzyna;196 000;1 197;Manualna;Bia³y;U¿ywane;37900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-golf-7-1-wlasciciel-bezwypadkowy-ID6EvNvc.html
Volkswagen;Golf;2016;Benzyna;62 000;1 395;Automatyczna;Bia³y;U¿ywane;9999;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-golf-vii-salon-1-wlasciciel-kompletne-wyposazenie-ID6Ev4Ws.html
Volkswagen;Golf;2019;Benzyna;29 000;1 498;Automatyczna;Szary;U¿ywane;89900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-salon-polska-highline-1-5-tsi-serwis-aso-niski-przebieg-ID6Erzq9.html
Volkswagen;Golf;2006;Diesel;350 000;1 896;Manualna;Czarny;U¿ywane;13900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-1-9-tdi-105km-alufelgi-16-klimatyzacja-b-ladny-ID6Euly5.html
Volkswagen;Golf;2013;Diesel;162 000;1 968;Manualna;Bia³y;U¿ywane;34900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-2-0-tdi-gtd-ID6EtecY.html
Volkswagen;Golf;2018;Benzyna;110 878;999;Manualna;Srebrny;U¿ywane;62900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-1-0-tsi-110km-fv23-navi-bt-czujniki-isofix-multifunkcja-alu-ID6Elp2J.html
Volkswagen;Golf;2008;Benzyna;177 000;1 595;Manualna;Srebrny;U¿ywane;17700;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-1-6-102km-2008r-5-drzwi-z-niemiec-ID6ExIcl.html
Volkswagen;Golf;2018;Benzyna;80 654;1 984;Automatyczna;Inny kolor;U¿ywane;89000;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-ID6ExIJC.html
Volkswagen;Golf;2004;Diesel;385 000;1 896;Manualna;Niebieski;U¿ywane;9990;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-ekonomiczny-zadbany-ID6Es0Kd.html
Volkswagen;Golf;2015;Diesel;132 000;1 968;Manualna;Czarny;U¿ywane;45900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-2-0-tdi-cr-hacback-prywatne-ID6ErXJg.html
Volkswagen;Golf;2007;Benzyna;165 000;1 595;Manualna;Srebrny;U¿ywane;13900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-idealny-grzane-fotele-klima-alu-zadbany-ID6EvHVK.html
Volkswagen;Golf;2007;Benzyna;166 000;1 595;Manualna;Srebrny;U¿ywane;14990;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-1-6-mpi-102km-z-de-166tys-km-klima-tour-gwarancja-oplacony-ID6EweyM.html
Volkswagen;Golf;2022;Diesel;1;1 968;Automatyczna;Niebieski;Nowe;137973;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-od-reki-style-2-0-tdi-150km-czujniki-parkowania-z-przodu-i-z-tylu-ID6EvGWF.html
Volkswagen;Golf;2010;Diesel;209 000;1 598;Manualna;Czarny;U¿ywane;16900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-ID6EvGPg.html
Volkswagen;Golf;2007;Diesel;165 000;1 896;Manualna;Szary;U¿ywane;16900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-oryginalny-przebieg-bez-wkladu-finansowego-ID6EvGLe.html
Volkswagen;Golf;2007;Benzyna;192 000;1 390;Manualna;Srebrny;U¿ywane;16900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-vw-golf-v-1-4-mpi-5-drzwi-nawigacja-pl-kamera-cofania-godny-uwagi-top-ID6EvNZv.html
Volkswagen;Golf;2011;Diesel;212 000;1 968;Automatyczna;Srebrny;U¿ywane;33000;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-r-line-dsg-lopatki-skora-xenon-navi-bbs-ID6ExJRw.html
Volkswagen;Golf;2009;Diesel;185 000;1 896;Manualna;Niebieski;U¿ywane;18500;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-okazja-volkswagen-golf-5-1-9-tdi-2009r-bluemotion-niski-przebieg-ID6EvNOz.html
Volkswagen;Golf;2007;Diesel;197 300;1 896;Manualna;Szary;U¿ywane;16900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-vw-golf-v-kombi-1-9-tdi-ID6EnmjE.html
Volkswagen;Golf;2007;Benzyna;179 000;1 595;Manualna;Czarny;U¿ywane;22400;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-oplacony-lift-1-6-mpi-102ps-idealny-200-oryg-ID6ExJZo.html
Volkswagen;Golf;2007;Benzyna;138 550;1 390;Manualna;Srebrny;U¿ywane;16300;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-vw-golf-v-1-4-140ps-salonowy-jeden-wlasciciel-ID6EwgrQ.html
Volkswagen;Golf;2016;Diesel;201 800;1 968;Automatyczna;Srebrny;U¿ywane;55900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-2-0tdi150km-automat-od-1-wlasciciela-pl-100-oryginal-100-serwis-ID6Es90G.html
Volkswagen;Golf;2016;Benzyna;196 000;1 197;Manualna;Bia³y;U¿ywane;37900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-golf-7-1-wlasciciel-bezwypadkowy-ID6EvNvc.html
Volkswagen;Golf;2016;Benzyna;62 000;1 395;Automatyczna;Bia³y;U¿ywane;9999;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-golf-vii-salon-1-wlasciciel-kompletne-wyposazenie-ID6Ev4Ws.html
Volkswagen;Golf;2019;Benzyna;29 000;1 498;Automatyczna;Szary;U¿ywane;89900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-salon-polska-highline-1-5-tsi-serwis-aso-niski-przebieg-ID6Erzq9.html
Volkswagen;Golf;2006;Diesel;350 000;1 896;Manualna;Czarny;U¿ywane;13900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-1-9-tdi-105km-alufelgi-16-klimatyzacja-b-ladny-ID6Euly5.html
Volkswagen;Golf;2013;Diesel;162 000;1 968;Manualna;Bia³y;U¿ywane;34900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-2-0-tdi-gtd-ID6EtecY.html
Volkswagen;Golf;2018;Benzyna;110 878;999;Manualna;Srebrny;U¿ywane;62900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-1-0-tsi-110km-fv23-navi-bt-czujniki-isofix-multifunkcja-alu-ID6Elp2J.html
Volkswagen;Golf;2008;Benzyna;177 000;1 595;Manualna;Srebrny;U¿ywane;17700;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-1-6-102km-2008r-5-drzwi-z-niemiec-ID6ExIcl.html
Volkswagen;Golf;2018;Benzyna;80 654;1 984;Automatyczna;Inny kolor;U¿ywane;89000;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-ID6ExIJC.html
Volkswagen;Golf;2004;Diesel;385 000;1 896;Manualna;Niebieski;U¿ywane;9990;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-ekonomiczny-zadbany-ID6Es0Kd.html
Volkswagen;Golf;2011;Benzyna;126 200;1 197;Automatyczna;Czarny;U¿ywane;26900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-6-automat-w-perfekcyjnym-stanie-ID6EsZZV.html
Volkswagen;Golf;2006;Benzyna;174 000;1 984;Manualna;Czarny;U¿ywane;19000;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-golf-v-gti-warszawa-ID6EsFFy.html
Volkswagen;Golf;2003;Benzyna;189 000;2 324;Manualna;Szary;U¿ywane;15900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-2-3-v5170-km-gtibezwypadkowystan-mega-zadbany-ID6Eni5s.html
Volkswagen;Golf;2014;Benzyna;85 300;1 197;Manualna;Srebrny;U¿ywane;36500;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-vii-1-2-ID6Ex6W0.html
Volkswagen;Golf;2015;Diesel;228 403;1 968;Manualna;Inny kolor;U¿ywane;40500;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-vw-golf-vii-2-0-tdi-150-km-ID6Esu35.html
Volkswagen;Golf;2005;Benzyna;196 000;1 390;Manualna;Czarny;U¿ywane;10950;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-super-stan-wersja-sport-ID6ExHol.html
Volkswagen;Golf;2010;Diesel;174 836;1 598;Manualna;Czarny;U¿ywane;26800;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-wersja-exclusive-ID6ExHcV.html
Volkswagen;Golf;2012;Benzyna;190 300;1 390;Manualna;Czarny;U¿ywane;27600;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-1-4-mpi-benzyna-z-niemiec-bezwypadkowy-ID6Ewfot.html
Volkswagen;Golf;2005;Benzyna;229 500;1 390;Manualna;Szary;U¿ywane;17200;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-vw-golf-pakiet-gt-1-4-mpi-klima-ID6ExE8z.html
Volkswagen;Golf;1993;Benzyna;243 000;1 781;Manualna;Czerwony;U¿ywane;4500;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-okazja-ID6Et3Sf.html
Volkswagen;Golf;2015;Diesel;132 000;1 968;Manualna;Czarny;U¿ywane;45900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-2-0-tdi-cr-hacback-prywatne-ID6ErXJg.html
Volkswagen;Golf;2007;Benzyna;165 000;1 595;Manualna;Srebrny;U¿ywane;13900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-idealny-grzane-fotele-klima-alu-zadbany-ID6EvHVK.html
Volkswagen;Golf;2007;Benzyna;166 000;1 595;Manualna;Srebrny;U¿ywane;14990;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-1-6-mpi-102km-z-de-166tys-km-klima-tour-gwarancja-oplacony-ID6EweyM.html
Volkswagen;Golf;2022;Diesel;1;1 968;Automatyczna;Niebieski;Nowe;137973;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-od-reki-style-2-0-tdi-150km-czujniki-parkowania-z-przodu-i-z-tylu-ID6EvGWF.html
Volkswagen;Golf;2010;Diesel;209 000;1 598;Manualna;Czarny;U¿ywane;16900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-ID6EvGPg.html
Volkswagen;Golf;2007;Diesel;165 000;1 896;Manualna;Szary;U¿ywane;16900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-oryginalny-przebieg-bez-wkladu-finansowego-ID6EvGLe.html
Volkswagen;Golf;2007;Benzyna;192 000;1 390;Manualna;Srebrny;U¿ywane;16900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-vw-golf-v-1-4-mpi-5-drzwi-nawigacja-pl-kamera-cofania-godny-uwagi-top-ID6EvNZv.html
Volkswagen;Golf;2011;Diesel;212 000;1 968;Automatyczna;Srebrny;U¿ywane;33000;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-r-line-dsg-lopatki-skora-xenon-navi-bbs-ID6ExJRw.html
Volkswagen;Golf;2013;Diesel;162 000;1 968;Manualna;Bia³y;U¿ywane;34900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-2-0-tdi-gtd-ID6EtecY.html
Volkswagen;Golf;2018;Benzyna;110 878;999;Manualna;Srebrny;U¿ywane;62900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-1-0-tsi-110km-fv23-navi-bt-czujniki-isofix-multifunkcja-alu-ID6Elp2J.html
Volkswagen;Golf;2008;Benzyna;177 000;1 595;Manualna;Srebrny;U¿ywane;17700;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-1-6-102km-2008r-5-drzwi-z-niemiec-ID6ExIcl.html
Volkswagen;Golf;2018;Benzyna;80 654;1 984;Automatyczna;Inny kolor;U¿ywane;89000;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-ID6ExIJC.html
Volkswagen;Golf;2004;Diesel;385 000;1 896;Manualna;Niebieski;U¿ywane;9990;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-ekonomiczny-zadbany-ID6Es0Kd.html
Volkswagen;Golf;2011;Benzyna;126 200;1 197;Automatyczna;Czarny;U¿ywane;26900;Polska;https://www.otomoto.pl/oferta/volkswagen-golf-6-automat-w-perfekcyjnym-stanie-ID6EsZZV.html
